"","tool_id","include","tool_name","acronym","rayyan_ref","web_ref","author","developer","year_published","updated","year_updated","updated_ref","promoted_tool","specify_indicators","wider_use","wider_use_evidence","wider_use_notes","adapted","adapted_ref","sustain_framing","dimensions","themes","named_framework","conceptual_framing","framing_definition","sdg","framing_indicator_link","indicator_convenience","sustainability_view","tool_orientiation","stakeholder_design","scale_measure","scale_report","localisable","country_use","system_type","visualise_framework","target_user","intended_function","comparison_type","verifiable","local_indicators","stakeholder_involved","indicator_selection","data_type","data_collection","complexity","access","paid_access","online_platform","guide_assess","guide_analysis","guide_interpret","guide_data_gov","informed_consent","visualise_result","visualise_type","assessment_results","collection_time","interval","interaction","interaction_expl","scaleable","aggregation","weighting","weighting_preference","comments","once_multi"
"112",147,"yes","jacobi et al., 2018",NA,"363932999","https://www.sciencedirect.com/science/article/abs/pii/s0264837718301789","jacobi et al., 2018",NA,2018,"no",NA,NA,"no","yes","unknown",NA,NA,"no",NA,"livelihood oriented view","natural capital; physical capital; financial capital; human capital; social capital; appropriately connected; ecologically self-regulated; interest groups; local consumption of production; decentralization and independence; diversity of crops and breeds; knowledge of threats and opportunities; reflective and shared learning; functioning feedback mechanisms; existence and use of local traditional knowledge; shared vision","natural capital; physical capital; financial capital; human capital; social capital; appropriately connected; ecologically self-regulated; interest groups; local consumption of production; decentralization and independence; diversity of crops and breeds; knowledge of threats and opportunities; reflective and shared learning; functioning feedback mechanisms; existence and use of local traditional knowledge; shared vision","na","resilience; sustainable food/agriculture","rist et al. (2016) developed an operational concept of food sustainability. it classifies food systems as sustainable if they are able to strike a positive balance between five fundamental aspects: (1) the capacity to ensure food security; (2) to fulfil people’s right to food; (3) to reduce poverty and inequality; (4) to exhibit a high environmental performance; and (5) to exhibit high levels of social-ecological resilience. resilience refers not only to the capacity to absorb stress and shocks as a system, but also to the capacity for self-organization and learning among system actors. in this way, resilience is a dynamic concept (ericksen et al., 2010), accounting for fast and slow changes that must be addressed at multiple interaction scales (anderies et al., 2006). overall, resilience may be considered a system property that plays a critical role in the sustainability of food systems.","15; 6; 8; 4; 3; 1; 7; 12; 2","yes","no","practice","consultation/feedback incorporated","ngos; researchers","food systems","food system","adaptable; widely applicable","kenya; bolivia","smallholder/family","no","researchers","strength/weakness; research","between cases","no","no","no","literature review; participatory","qualitative (textual/narrative)","interviews; questionnaire/survey; expert opinion","low","open access","no","no","no","no","no","no","unknown","yes","radar/spider","scoring system","high","years","no",NA,"no","yes","no",NA,NA,"once"
"113",148,"yes","chen et al., 2018",NA,"363933029","https://www.sciencedirect.com/science/article/abs/pii/s0959652617325684","chen et al., 2018",NA,2018,"no",NA,NA,"no","yes","unknown",NA,NA,"no",NA,"classical view","social; economic; environment",NA,"life cycle assessment","sustainable food/agriculture","sustainable production is dependent on the performance of environmental, social, and economic aspects of the system (von keyserlingk et al., 2013).","13; 6; 12; 3; 8; 10; 1; 15; 14; 4","no","no","performance","researcher/developer only","na","farm/household","farm/household","context-specific","ireland","large/commercial; dairy","yes","researchers","strength/weakness; research","between cases; over time","unknown","no","no","researcher selected","quantitative (measured); quantitative (enumumerator/farmer estimated); qualitative (enumerator/ farmer estimated)","questionnaire/survey; database/secondary data","high","open access","no","no","no","no","no","no","unknown","yes","radar/spider; tables","scoring system; comparison between cases; indicator ranges/benchmark","low","years","no",NA,"yes","no","no","for transparency, each impact indicator of environmental, economic, and social aspect was reported separately, but to assess the overall sustainability a multi-criteria decision analysis was used to provide a straight forward result for facilitating decision making (kagi et al., 2015 € ). weighting of different indicators is an inevitable process for multi-criteria analysis. the most effective and representative weighting factors should be generated from a stakeholder group survey (dong and ng, 2015), however, this is time and resource intensive (manik et al., 2013). so, for this study, a weighting method was developed that can be used when a weighting survey is not available. initially, the same weighting factors (0.33) are assumed for environmental, economic, and social dimensions and the indicators in each dimension share the same weighting factor.",NA,"once"
"114",149,"yes","escribano et al., 2018",NA,"363933043","https://www.sciencedirect.com/science/article/abs/pii/s0048969718319491","escribano et al., 2018",NA,2018,"no",NA,NA,"no","yes","unknown",NA,NA,"no",NA,"classical view","social; economic; environment",NA,"na","sustainable food/agriculture","there are also other anthropogenic and environmental factors challenging the survival and sustainability of these valuable ecosystems. thus, younger farmers taking over these low-profitable systems will need to transform current production models into cost-efficient operations that will work together with the nature, and not against it. to this end they will have to lower input costs, find alternative sources of income, recycle resources, stimulate natural regeneration, improve soil and increase farm productivity so that their land can become economically and environmentally sustainable.","8; 4; 10; 1; 15; 6","no","no","both","co-designed from start","experts; researchers","farm/household","farm/household","context-specific","spain","dehesa","no","farmers/producers; researchers; policy makers","multipurpose","between cases; over time","unknown","no","no","participatory","quantitative (measured); quantitative (enumumerator/farmer estimated); qualitative (enumerator/ farmer estimated)","unknown","low","open access","no","no","no","no","no","no","unknown","no","na","composite index","medium","years","no",NA,"yes","no","yes","whether or not to weight sustainability indicators and the ways of doing so have been widely discussed in the literature (bernués et al., 2011), with qualitative techniques such as focus groups been extensively used for this purpose (escribano et al., 2014; ripollbosch et al., 2012). however, in this research it was decided that the experts' scores could be a better proxy of the importance of the indicator (%). in addition, the successive rounds and the consensus achieved improve the validity of the values obtained.","just the proposed indicators no actual use","unknown"
"115",150,"yes","bizikova et al., 2019",NA,"363933072","https://www.researchgate.net/publication/329950315_an_indicator_set_to_track_resilience_to_climate_change_in_agriculture_a_policy-maker's_perspective","bizikova et al., 2019",NA,2019,"no",NA,NA,"no","yes","unknown",NA,"cited 12 times","no",NA,"classical view","economic; social; environmental; productivity","climate change; environmental services; demographics; rural infrastructure; farmland production activities; market/economy","na","resilience","this paper defines resilience as the capacity of a socioecological system to absorb or withstand perturbations and other stressors such that the system remains within the same regime, essentially maintaining its structure and functions","2; 13; 15","no","yes","performance","consultation/feedback incorporated","policy makers; researchers; farmers/farm managers","farm/household","region","widely applicable","canada","both","yes","policy makers","policy advise","between cases","yes","no","yes","expert consultation; participatory; literature review","quantitative (measured); quantitative (enumumerator/farmer estimated); qualitative (enumerator/ farmer estimated); qualitative (textual/narrative)","database/secondary data; questionnaire/survey","medium","open access","no","no","yes","yes","yes","no","unknown","no","na","comparison between cases","unknown","unknown","no",NA,"no","no","no",NA,NA,"once"
"116",151,"yes","troiano et al., 2019",NA,"363933081","https://www.sciencedirect.com/science/article/abs/pii/s1470160x1830774x","troiano et al., 2019",NA,2019,"no",NA,NA,"no","yes","unknown",NA,"cited 11 times",NA,NA,"classical view","economic; social; environmental",NA,"own framework","sustainable food/agriculture","agricultural sustainability, measured by economic, social and environmental indicators, is at the base of the farm performances (dantsis et al., 2010).","1; 2; 4; 6; 7; 8; 12; 15","yes","yes","performance","consultation/feedback incorporated","farmers/farm managers; multistakeholders","farm/household","farm/household; region","adaptable","italy","smallholder/family",NA,"farmers/producers; researchers; multistakeholders","strength/weakness; research","between cases","yes","no","yes","participatory; literature review","quantitative (measured); quantitative (enumumerator/farmer estimated)","questionnaire/survey; self-reporting; field measurment","low","restricted","yes","yes","yes","yes","yes","no","unknown","yes","network diagram; bar plot","scoring system; statistical analysis","high","months/seasonal","no",NA,"yes","yes","yes","in detail, according to preferences collected among multiple stakeholders, weights represented the relative importance of each indicator in each scenario (collier et al., 2014; tsang et al., 2014) (fig. 1). the economic indicators had the highest importance or weighting factor and the environmental indicators had the lowest weighting factors in the economic scenario, while the opposite was true in the ecological scenario. the social indicators maintained the same weighting factors in both scenarios.",NA,NA
"117",152,"yes","bene et al., 2019",NA,"363933112","https://www.nature.com/articles/s41597-019-0301-5","bene et al., 2019",NA,2019,"no",NA,NA,"no","yes","unknown",NA,NA,"no",NA,"classical view","economic; social; environmental; food security & nutrition","air; water; soil and land; biodiversity; energy; food security; food safety; food waste and use; nutrition","na","sustainable food/agriculture","none given","6; 15; 13; 1; 8; 2; 5; 12; 3","no","yes",NA,"researcher/developer only","na","global","global","widely applicable","global","both","yes","farmers/producers; business/firm; agricultural advisors; policy makers; researchers; farmer organisations; development actors; charity/ngo","multipurpose","over time",NA,NA,NA,"literature review","quantitative (measured); quantitative (enumumerator/farmer estimated)","database/secondary data","medium","open access","no","no","no","no","no","no","unknown","yes","timeseries; scatter plot; correlation","scoring system; statistical analysis","low",NA,"yes","correlations between indicators","yes","yes","no",NA,"this is more of a review of metrics (follows an include exclude criteria)","once"
"118",154,"yes","allen et al., 2019",NA,"363933138","https://www.researchgate.net/publication/323407895_a_delphi_approach_to_develop_sustainable_food_system_metrics","allen et al., 2019",NA,2019,"no",NA,NA,"no","yes","unknown",NA,"80 citations","no",NA,"embedded view","exposure; sensitivity; resilience",NA,"na","vulnerability; resilience","exposure is the nature and degree to which a system is likely to be affected by the occurrence of a change; sensitivity is the degree to which a system is affected either adversely or beneficially, by a change; resilience is the ability of a system to anticipate, absorb, accommodate, or recover from the effects of a potentially hazardous event in a timely and efficient manner, through ensuring the preservation, restoration, or improvement of its essential basic structures and functions (ipcc 2012).","2; 6; 12; 14; 15","no","no","performance","consultation/feedback incorporated","researchers","food systems; national; across scales","food system; national; across scales","widely applicable","france; italy; spain","both","yes","farmers/producers; business/firm; researchers; development actors","research; policy advise","over time","no","no","yes","expert consultation","qualitative (textual/narrative)","interviews; focus group/workshop","high","open access","no","no","yes","yes","yes","no","no","yes","bar plot","indicator ranges/benchmark; statistical analysis","high","months/seasonal","yes","18 indicators were finally identified for eight preselected causal models of vulnerability and resilience at the interactions between a set of four drivers of change (water depletion, biodiversity loss, food price volatility, and changes in food consumption patterns) and four food and nutrition security outcomes (nutritional quality of food supply, affordability of food, dietary energy balance, and satisfaction of cultural food preferences). each interaction was disentangled in exposure, sensitivity and resilience","yes","no","no",NA,"the assessment applied the delphi study that focussed on a list of indicators of sustainable diets and food systems over three iterative rounds. experts were asked to select indicators from a list to inform a number of criteria.","multiple"
"119",155,"yes","li et al., 2019a",NA,"363933175","https://www.mdpi.com/2071-1050/11/19/5313","li et al., 2019a","sichuan university",2019,"no",NA,NA,"no","yes","unknown",NA,"7 citations","no",NA,"classical view","economy; society; environment; education; population",NA,"own framework","sustainable food/agriculture","for agricultural development to be sustainable, however, there needs to be a balance between the economy, the environment, and the society.","1; 4; 8; 14; 15","yes","no","performance","researcher/developer only","na","landscape; national","landscape; national","adaptable","china","both","no","farmers/producers; agricultural advisors; policy makers; development actors","multipurpose","over time","yes","no","no","literature review; researcher selected","quantitative (measured)","database/secondary data","low","open access","no","no","yes","yes","yes","no","no","yes","line plot","statistical analysis","high","years","no",NA,"yes","yes","no","the theory of information entropy can be used to evaluate the sustainable development of regional agriculture and calculate the specific index information entropy and the annual information entropy. index information entropy determines the weight of each index, which is then used to assess the changing sustainable regional agricultural development characteristics, with the annual information entropy describing the changing trends.","assessment operates at a city scale and looks at chengdu, as the core city in southwest china, which is a developed agricultural city with rich resources","multiple"
"120",156,"yes","ruiz-almeida et al., 2019",NA,"363933176","https://link.springer.com/article/10.1007/s12571-019-00964-5","ruiz-almeida et al., 2019","polytechnic university of catalonia; central university of catalonia",2019,"no",NA,NA,"no","yes","unknown",NA,"30 citations","no",NA,"classical view","social; environmental; political","access to resources; productive models; commercialization; food consumption & right to food; agrarian policies and civil society organization; gender","na","food sovereignty","the food sovereignty proposal addresses food systems from a holistic perspective that encompasses environmental, social and economic aspects in order to find a political answer that guides the system towards the more general goal of sustainability (mcmichael 2011). from this perspective, sustainable agri food systems are defined as systems capable of ensuring the food security of all people by making political efforts to address the root cause of hunger and malnutrition, while at the same time preserving the environment, and putting those people who produce food at the centre of policies.","2; 4; 6; 8; 9; 12; 14; 15","yes","yes","both","researcher/developer only","na","food systems","food system; across scales","context-specific","na","both","yes","farmers/producers; agricultural advisors; policy makers; development actors","multipurpose","over time","unknown","no","no","literature review; researcher selected","quantitative (measured); qualitative (textual/narrative)","database/secondary data; expert opinion","medium","open access","no","no","yes","yes","yes","no","no","no","na","statistical analysis","high","years","no",NA,"yes","no","no",NA,"interesting selection of indicators.","once"
"121",157,"yes","li et al., 2019b",NA,"363933181","https://www.mdpi.com/2071-1050/11/7/2004","li et al., 2019b",NA,2019,"no",NA,NA,"no","yes","unknown",NA,"33 citations","no",NA,"classical view","economy; society; environment; resources; population",NA,"own framework","sustainable food/agriculture","sustainable agriculture refers to the adoption of a certain way of managing and protecting the natural resource base, as well as technological and institutional reforms, to ensure that the demand for agricultural products for present and future generations can be continuously satisfied.","1; 6; 9; 13","yes","no","performance","researcher/developer only","na","project/programme; national","project/programme; national","adaptable","global","both","no","policy makers; researchers; charity/ngo; development actors","research; policy advise","over time","yes","no","no","literature review; researcher selected","quantitative (measured)","database/secondary data","medium","open access","no","no","yes","yes","yes","no","no","no","line plot; maps","statistical analysis; composite index","high","years","no",NA,"yes","yes","yes","on this basis, the dynamic weights of secondary indices in this paper in each year are determined by the improved entropy weight method. overall, the entropy weight method is a mathematical method for calculating an aggregative index on the basis of comprehensively considering the amount of information provided by various factors. thus, the smaller the information entropy of an index is, the more significant the difference is. moreover, the lower the degree of information disorder is, the greater the value of information utility is. these mean that the greater the weight of the index is, the more important it is in the comprehensive evaluation and the greater the entropy weight is.",NA,"multiple"
"122",158,"yes","bachev et al., 2019",NA,"363933189","https://www.agrojournal.org/25/04-01.pdf","bachev et al., 2019","bulgarian institute of agricultural economics",2019,"no",NA,NA,"no","yes","unknown",NA,"2 citations","no",NA,"classical view","economic; social; ecological","financial stability; economic effectiveness, competitiveness; adaptability to economic environment; welfare of those employed in agriculture; conservation of farming; gender equality; social capital; adaptability to the social environment; air quality; land quality; water quality; effective energy consumption; biodiversity; animal welfare; implementation of organic production; adaptability to the environment","own framework; safe","sustainable food/agriculture","none given","1; 3; 4; 5; 6; 7; 8; 11; 13; 14; 15; 16","yes","no","performance","consultation/feedback incorporated","farmers/farm managers; businesses","national","national","adaptable","bulgaria","both","no","farmers/producers; business/firm; researchers","research; policy advise","over time","unknown","no","yes","participatory; researcher selected","qualitative (textual/narrative); qualitative (enumerator/ farmer estimated)","interviews; focus group/workshop","medium","open access","no","no","yes","yes","yes","no","no","yes","radar/spider; bar plot","composite index; statistical analysis","medium","days","no",NA,"yes","yes","no","after than the integral index for a particular criterion (si(c)), principle (si(p)), and aspect of sustainability (si(a)), and the integral sustainability index (si(o)) for each farm is calculated as an arithmetic average applying equal weight for every indicator in a particular criterion, of each criterion in a particular principle, and each principle in every aspect of sustainability. the composite sustainability index of a particular agri-ecosystem is an arithmetic average of the indices of relevant farms belonging to that agro ecosystem.",NA,"multiple"
"123",159,"yes","du et al., 2020",NA,"363933206","https://www.hindawi.com/journals/mpe/2020/4792679/","du et al., 2020",NA,2020,"no",NA,NA,"no","yes","unknown",NA,"10 citations","no",NA,"classical view","economic; social; environmental","environmental management system; environmental protection; cost; pollution; use of packaging materials; food safety","na","sustainable food/agriculture","sustainable supply chain management in the field of fresh agricultural products is facing economic, social, and ecological challenges. )is sustainability is influenced by many factors, including economic, social, and environmental aspects, namely, the triple bottom line (tbl) principle (figure 1).","2; 3; 7; 13","yes","yes","both","researcher/developer only","na","food systems","food system","context-specific","china","both","yes","business/firm; researchers; policy makers","strength/weakness; research","over time","no","no","no","researcher selected","quantitative (measured)","expert opinion","high","open access","no","no","yes","yes","yes","no","no","yes","bar plot; sunburst/radial plot","statistical analysis; composite index","medium","months/seasonal","no",NA,"yes","yes","yes","with the help of expert scores and an intuitionistic fuzzy number correspondence table (table 2), an intuitionistic fuzzy judgment matrix is established. then, after a consistency test, the index weights at all levels are finally obtained to assist decision-making.","takes a look at the food system (suppliers component)","multiple"
"124",160,"yes","marandure et al., 2020",NA,"363933211","https://www.researchgate.net/publication/343882429_farmer_challenge-derived_indicators_for_assessing_sustainability_of_low-input_ruminant_production_systems_in_sub-saharan_africa","marandure et al., 2020","stellenbosch university; university of pretoria; coventry university",2020,"no",NA,NA,"no","yes","unknown",NA,"10 citations","no",NA,"classical view","ecological; economic; social",NA,"own framework","sustainable food/agriculture","none given","4; 5; 6; 8; 15","no","yes","both","consultation/feedback incorporated","farmers/farm managers; multistakeholders","farm/household; landscape","farm/household; landscape; region","context-specific","sub-saharan africa","livestock","no","farmers/producers; policy makers","strength/weakness; policy advise","between cases","yes","no","yes","participatory; researcher selected","quantitative (measured)","database/secondary data","medium","open access","no","no","yes","yes","yes","no","no","no","na","statistical analysis; scoring system","high","years","no",NA,"yes","yes","yes","the impact of challenges provided objective weights to the corresponding indicators. indicators derived from high, moderate and low impact challenges were allocated weights of three, two and one, respectively. the weight allocation was adapted from a procedure for determining sustainability designed by atanga et al. (2013).","has interesting figure on the review process. included in the sheet.","once"
"125",161,"yes","rios et al., 2020",NA,"363933212","https://www.mdpi.com/2071-1050/12/22/9595","rios et al., 2020","universidad nacional de colombia",2020,"no",NA,NA,"no","yes","unknown",NA,"4 citations","no",NA,"classical view","financial; technical; social; environmental",NA,"own framework","sustainable food/agriculture","from the standpoint of sustainability, specialized dairy production systems (sdpss) need to guarantee adequate social–economic conditions for family groups, to persist over time, to obtain good-quality products, and to operate in an environmentally friendly manner in order to maintain or even improve the base of existing natural resources within the system","1; 3; 6; 13; 16","no","yes","both","consultation/feedback incorporated","researchers","farm/household","farm/household","context-specific","colombia","dairy","no","farmers/producers; agricultural advisors; business/firm; policy makers; development actors","multipurpose","between cases","unknown","no","yes","expert consultation; literature review","quantitative (measured); quantitative (enumumerator/farmer estimated); qualitative (enumerator/ farmer estimated)","questionnaire/survey; field measurment","low","open access","no","no","yes","yes","yes","no","no","no","na","statistical analysis; composite index","high","years","no",NA,"yes","yes","yes","ahp breaks down the analysis into criteria and sub-criteria, which are calculated with a weighted average of the scores assigned to each analyzed alternative. in order to obtain the weights for each criterion and sub-criterion based on allocating weights to each of the criteria, saaty proposes a pairwise comparison in a structured matrix system to obtain an overall rank of weights, in which consistency (defining the relative importance of one criteria with respect to another, and comparing the relative importance to that of other criteria) can be measured",NA,"once"
"126",162,"yes","alary et al., 2020",NA,"363933220","https://www.sciencedirect.com/science/article/abs/pii/s0308521x19308984","alary et al., 2020",NA,2020,"no",NA,NA,"no","yes","unknown","https://www.scopus.com/results/citedbyresults.uri?sort=plf-f&cite=2-s2.0-85085560596&src=s&imp=t&sid=83ca699d8cec0f410823f17d7aac9c31&sot=cite&sdt=a&sl=0&origin=inward&editsavesearch=&txgid=8429cf7f1607666164b0bc7100434926","the paper has 11 citations according to sciencedirect","unknown",NA,"productive view","ecological; economic; social","family theme; land theme; livestock theme; diversification theme; integration theme; well-being theme; efficiency theme","na","na",NA,"1; 2; 3; 7; 12","no","yes","both","unknown","na","farm/household","farm/household","context-specific","egypt","smallholder/family","yes","farmers/producers; researchers","strength/weakness; research","between cases","no","yes","yes","researcher selected","quantitative (enumumerator/farmer estimated)","interviews; questionnaire/survey","medium","open access","no","no","yes","yes","yes","unknown","unknown","yes","line plot; scatter plot; box plot","scoring system; composite index; cluster analysis","unknown","unknown","no",NA,"unknown","yes","no",NA,"this work was supported by the agency of national research (anr) in france (grant arimnet program 2011, anr-2012-2015, 12-agri0007) and the cgiar research program on livestock.","once"
"127",163,"yes","stylianou et al., 2020",NA,"363933221","https://www.mdpi.com/2071-1050/12/15/6105","stylianou et al., 2020",NA,2020,"no",NA,NA,"no","yes","unknown",NA,"according to the mdpi.com website the paper has over 21 citations","unknown",NA,"classical view","ecological; economic; social",NA,"na","na",NA,"2; 12; 15; 17","no","no","performance","researcher/developer only","na","farm/household","food system","context-specific","cyprus","smallholder/family","yes","policy makers; researchers","multipurpose","between cases","no","yes","yes","literature review","quantitative (enumumerator/farmer estimated)","questionnaire/survey; interviews; database/secondary data","low","open access","no","no","yes","yes","yes","unknown","unknown","yes","tables; radar/spider","scoring system; composite index; cluster analysis","low","unknown","no",NA,"yes","yes","no",NA,NA,"once"
"128",164,"yes","lairez et al., 2020",NA,"363933225","https://www.sciencedirect.com/science/article/abs/pii/s0308521x19314386","lairez et al., 2020",NA,2020,"no",NA,NA,"no","no","unknown","https://www.scopus.com/results/citedbyresults.uri?sort=plf-f&cite=2-s2.0-85083828974&src=s&imp=t&sid=0d805518ccf15d9182be12e17d2fc0f8&sot=cite&sdt=a&sl=0&origin=inward&editsavesearch=&txgid=2e57f403ed98b116b2a8a96c1f7203f7","it has been cited 9 times","unknown",NA,"classical view","ecological; economic; social",NA,"na","na",NA,"2; 12; 13; 15; 17","no","no","performance","consultation/feedback incorporated","farmers/farm managers; researchers","field/plot; farm/household","field/plot; farm/household","context-specific","laos","smallholder/family","yes","farmers/producers; researchers","strength/weakness; research","between cases","yes","yes","yes","expert consultation; participatory","quantitative (enumumerator/farmer estimated)","interviews; focus group/workshop; field measurment; questionnaire/survey","medium","open access","no","no","yes","yes","yes","unknown","unknown","yes","tables","scoring system; cluster analysis; regression analysis","unknown","unknown","no",NA,"unknown","yes","no",NA,NA,"once"
"129",167,"yes","mucharam et al., 2020",NA,"363933274","https://www.iieta.org/journals/ijsdp/paper/10.18280/ijsdp.150819","mucharam et al., 2020",NA,2020,"no",NA,NA,"no","yes",NA,NA,NA,NA,NA,"governance oriented","economic; ecological; social; technological; institutional",NA,"na","sustainable food/agriculture","the paper defines sustainable agriculture as: ""the management and conservation of the natural resource base, as well as the orientation of technological and institutional change to ensure the attainment and continued satisfaction of human needs for the present and future generations. such development conserves land, water, plant, and animal genetic resources, which is environmentally non-degrading, technically appropriate, economically viable, and socially acceptable.""","2; 12; 13; 15; 17","no","yes","both","unknown","na","farm/household","region","context-specific","indonesia","smallholder/family",NA,"farmers/producers; researchers; policy makers","strength/weakness","between cases","no","yes","yes","literature review; participatory; researcher selected","quantitative (enumumerator/farmer estimated)","database/secondary data; questionnaire/survey","low","open access","no","no","yes","yes","yes","unknown","unknown","yes","scatter plot; bar plot; radar/spider; kite/violin plot","scoring system; composite index","unknown","unknown","no",NA,"unknown","yes","no",NA,NA,"once"
"130",168,"yes","ledesma et al., 2020",NA,"363933336","https://www.sciencedirect.com/science/article/abs/pii/s0959652620330389","ledesma et al., 2020",NA,2020,"no",NA,NA,"no","yes","unknown",NA,"cited 14 times according to sciencedirect","no",NA,"classical view","ecological; economic; social",NA,"integrated value modelfor sustainable assessment (mives)","sustainable food/agriculture","none given","2; 11; 13; 15; 17","no","yes","performance","consultation/feedback incorporated","multistakeholders","field/plot","region","context-specific","ecuador","urban","yes","decision makers","strength/weakness; policy advise","between cases","unknown","yes","yes","expert consultation; participatory; literature review; researcher selected","quantitative (measured); quantitative (enumumerator/farmer estimated); quantitative (predicted)","field measurment; database/secondary data; interviews","medium","restricted","yes","no","yes","yes","yes","unknown","unknown","yes","tables; correlation; box plot; cluster analysis; bar plot","statistical analysis","unknown","unknown","no",NA,"yes","yes","no",NA,NA,"once"
"131",169,"yes","guarnaccia et al., 2020",NA,"363933347","https://www.mdpi.com/2073-4395/10/10/1546","guarnaccia et al., 2020",NA,2020,"no",NA,NA,"no","yes","unknown",NA,"it has been cited 10 times","no",NA,"classical view","ecological; economic; social",NA,"sdgs","sustainable development","this paper defines ""a sustainable food system (sfs) is a food system that delivers food security and nutrition for all people in such a way that the economic, social and environmental basis to generate food security and nutrition for future generations is not compromised""","1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 15; 16; 17","yes","unknown","both","consultation/feedback incorporated","ngos; multistakeholders","unknown","national","widely applicable","chile","both","yes","farmers/producers; business/firm; researchers; policy makers","multipurpose","between cases","unknown","no","yes","expert consultation; literature review; participatory","qualitative (textual/narrative); quantitative (enumumerator/farmer estimated); ","focus group/workshop; interviews","low","open access","no","no","yes","yes","yes","unknown","unknown","no","na","comparison over time","unknown","unknown","no",NA,"yes","no","no",NA,NA,"once"
"132",170,"yes","jacobi et al., 2020",NA,"363933350","https://www.nature.com/articles/s41598-020-76284-y","jacobi et al., 2020",NA,2020,"no",NA,NA,"yes","yes","yes",NA,"11 citations; 5952 accesses","no",NA,"classical view","food security; right to food; socio-ecological resilience; poverty & inequality; environmental performance",NA,"own framework","sustainable food/agriculture","sustainable food systems entails not only securing people's food supply but also ensuring that food production, distribution and consumption are ecologically, economically and socially responsible now and in the longterm.food sustainability framework based on the concept that a sustainable food system must simultaneously contribute to five dimensions of food security, implementation of the right to food, reduction of poverty&inequality, high environmental performance and social-ecological resilience","1; 2; 5; 10; 12; 13; 15","no","yes","performance","co-designed from start","producer organisations; government representatives; private sector actors; farmers/farm managers; researchers; farmers/farm managers","value chain; food systems","national; region","adaptable; widely applicable","kenya; bolivia","smallholder/family; large/commercial","yes","agricultural advisors; policy makers; development actors; charity/ngo; researchers","multipurpose","between cases","yes","yes","yes","expert consultation; literature review; participatory","quantitative (measured); qualitative (textual/narrative)","interviews; questionnaire/survey; focus group/workshop; questionnaire/survey; remote sensing","high","open access","no","yes","yes","yes","yes","yes","no","yes","radar/spider; box plot; bar plot; tables","indicator ranges/benchmark; statistical analysis; scoring system","low","years","no",NA,"yes","yes","yes","local&agro-ecological food systems scored highest",NA,"once"
"133",171,"yes","sharma et al., 2020",NA,"363933359","https://www.inderscienceonline.com/doi/10.1504/ijsami.2020.106549","sharma et al., 2020","r.k. sharma et al.",2020,NA,NA,NA,"no","yes",NA,NA,NA,"no",NA,"governance oriented","economic; social; environment; governance","knowledge; quality of life; food safety; social participation; viability; vulnerability; inputs; water; soil; traceability; transparency; support","own framework","sustainable food/agriculture","sustainability at rural grassroot level entails enveloping the issues of farmer livelihoods and vulnerabilities, social development and environmental concerns.","1; 2; 3; 4; 5; 6; 8; 10; 11; 12; 13; 15; 16","no","yes","performance","consultation/feedback incorporated","farmers/farm managers; researchers; researchers; agricultural advisor/extension; producers/exporters","value chain; national; food systems","region; national; landscape; value chain; food system","adaptable; widely applicable","india","smallholder/family; large/commercial","yes","farmers/producers; policy makers; researchers; farmer organisations; development actors","multipurpose","between cases","yes","yes","yes","expert consultation; literature review","quantitative (enumumerator/farmer estimated); qualitative (enumerator/ farmer estimated)","questionnaire/survey","high","restricted","no","no","yes","yes","yes","no","unknown","yes","radar/spider; tables","statistical analysis","low",NA,"no",NA,"yes","yes","yes","governance weighted highest",NA,"once"
"134",172,"yes","zhen et al., 2020",NA,"363933377","https://www.sciencedirect.com/science/article/abs/pii/s1470160x20302545","zhen et al., 2020","china organic regulation",2020,NA,NA,NA,"no","yes","unknown",NA,NA,"no",NA,"governance oriented","environment; management; production","plant protection; detection; soil fertility management; endogenous environment; management mode; operational status; external environment; production scale; seed & propagating material; storage; cultivation","own framework","risk","risk refers to the seriousness and possibility of not complying with organic standards in the production operation of organic products, resulting in the consequences of destroying the integrity of organic products.","2; 3; 8; 12; 13; 15; 17","no","yes","practice","co-designed from start","experts; farmers/farm managers; ngos; agricultural advisor/extension; researchers; certification schemes; government representatives; institutions; farmers/farm managers","food systems; national; value chain","food system; region; national; value chain","widely applicable","china","smallholder/family; large/commercial","yes","farmers/producers; certification/inspectors; certification/inspectors","multipurpose","between cases","unknown","yes","yes","participatory","quantitative (measured); quantitative (enumumerator/farmer estimated); quantitative (predicted); qualitative (enumerator/ farmer estimated); qualitative (textual/narrative)","questionnaire/survey; literature review","high","restricted","no","no","yes","yes","yes","no","unknown","yes","tables; bar plot","scoring system; stakeholder/ self assessment","low","unknown","no",NA,"yes","no","yes","the production dimension received the highest weight of 0.59, followed by management with 0.24, and environment with 0.17.","this is a risk assessment tool with dimensions of environment,production and management, and therefore does not provide the classical view to sustainability.","multiple"
