tool_id,metric_id,dimensions,themes,metric_question
34,9,environment,nature and biodiversity,the company demonstrates that it is achieving deforestation and conversion-free supply chains for its high-risk commodities.
34,10,environment,sustainable production,the company demonstrates sustainable fishing and aquaculture operations and/or the sustainable sourcing of seafood and aquaculture feed ingredients.
34,11,environment,sustainable production,the company is transitioning to a diversified protein portfolio
34,12,environment,sustainable production,the company adopts sustainable production and sourcing practices that improve soil health and increase agrobiodiversity.
34,13,environment,sustainable production,the company demonstrates that it is optimising the use of fertilisers and minimising the use of pesticides
34,14,environment,sustainable water supply,the company is reducing its water withdrawal across its operations and supply chain.
34,15,environment,reduce waste,the company is reducing food loss and waste across its own operations and supply chain.
34,16,environment,reduce waste,the company is reducing its plastic use and transitioning to sustainable forms of packaging
34,17,environment,ethical animal production,the company is committed to improving aquatic and farm animal welfare.
34,18,environment,ethical animal production,the company is reducing the use of medically important antimicrobials and specifically prohibits the prophylactic use of antibiotics and growth-promoting substances
34,19,social,respect human rights,the company publicly commits to respecting all internationally recognised human rights across its activities.
34,20,social,respect human rights,"the company publicly commits to respecting the principles concerning fundamental rights at work in the eight ilo core conventions, as set out in the ilo declaration on fundamental principles and rights at work. it also has a publicly available policy statement committing it to respect the human rights of workers in its business relationships."
34,21,social,respect human rights,the company proactively identifies its human rights risks and impacts.
34,22,social,respect human rights,"having identified its human rights risks and impacts, the company assesses them and then prioritises its salient human rights risks and impacts."
34,23,social,respect human rights,"the company integrates the findings of its assessments of human rights risks and impacts into relevant internal functions and processes by taking appropriate actions to prevent, mitigate or remediate its salient human rights issues."
34,24,social,respect human rights,"as part of identifying and assessing its human rights risks and impacts, the company identifies and engages with stakeholders whose human rights have been or may be affected by its activities."
34,25,social,respect human rights,"the company has one or more channels/mechanisms (its own, third party or shared) through which workers can raise complaints or concerns, including in relation to human rights issues."
34,26,social,respect human rights,"the company has one or more channels/mechanisms (its own, third party or shared) through which individuals and communities who may be adversely impacted by the company can raise complaints or concerns, including in relation to human rights issues."
34,27,social,provide and promote decent work,the company publicly commits to respecting the health and safety of workers and discloses relevant data. it also places health and safety expectations on and monitors the performance of its business relationships
34,28,social,provide and promote decent work,the company is committed to paying its workers a living wage and supports the payment of a living wage by its business relationships
34,29,social,provide and promote decent work,the company does not require workers to work more than the regular and overtime hours and places equivalent expectations on its business relationships.
34,30,social,provide and promote decent work,the company discloses information about collective bargaining agreements covering its workforce and its approach to supporting the practices of its business relationships in relation to freedom of association and collective bargaining
34,31,social,workforce diversity,the company discloses the percentage of employees for each employee category by at least four indicators of diversity.
34,32,social,gender and inclusion,the company publicly commits to gender equality and women’s empowerment and discloses quantitative information on gender equality and women’s empowerment. 
34,33,social,personal data protection ,the company publicly commits to protecting personal data and has a global approach to data privacy
34,34,social,corporate taxation,the company has a public global tax approach and discloses its corporate income tax payments on a country-by-country basis.
34,35,social,anti-corruption ,the company publicly prohibits bribery and corruption and takes steps to identify and address bribery and corruption risks and incidents. 
34,36,social,lobbying and advocacy,the company has an approach to lobbying and political engagement and has related controls in place.
34,37,social,child labour,the company eliminates and prevents child labour31 in its own operations and supply chain
34,38,social,forced labour,the company eliminates and prevents forced labour in its own operations and supply chain
34,39,social,living wage,the company pays all its workers a living wage and requires its suppliers to do the same
34,40,social,health and safety,the company identifies and addresses health and safety risks to vulnerable groups in its operations and/or supply chain.
34,41,social,farmer and fishers livelihoods,the company improves the livelihoods of farmers and fishers through activities aimed at increasing income and resilience
34,42,social,land rights,"the company respects the rights of legitimate tenure rightsholders when acquiring, leasing or using land, paying particular attention to vulnerable tenure rightsholders."
34,43,governance,governance and strategy,the company has sustainability objectives and targets embedded in its strategy and business model.
34,44,governance,governance and strategy,the company has a governance system that includes highest level responsibility and accountability for its sustainability objectives and targets.
34,45,governance,governance and strategy,the company engages with stakeholders on sustainable development issues and incorporates the outcomes of these activities in its strategy and operations
34,46,governance,governance and strategy,the company advocates sustainable business policies and regulations and discloses any misalignment with its lobbying activities as well as the measures it takes to address misalignment.
35,1,environment,environment,project approach leads to improvements in soil fertility
35,2,environment,environment,project approach contributes to erosion control
35,3,environment,environment,project approach has beneficial effects on water quality
35,4,environment,environment,project approach contributes to water supply
35,5,environment,environment,project approach improves biodiversity
35,6,economic,economic,project approach leads to improvements in income
35,7,economic,economic,project approach leads to improvements in food security
35,8,economic,economic,project approach leads to improved competitiveness of small-scale farmers
35,9,economic,economic,project approach increases resource use efficiency
35,10,economic,economic,project approach leads to an adapted/adequate use of external inputs in order to decrease dependency
35,11,social,social,project approach is adapted to social customs
35,12,social,social,project approach integrates indigenous knowledge
35,13,social,social,project approach contributes to more equitable division of labour
35,14,social,social,project approach contributes to equitable access to services and education
35,15,social,social,project approach contributes to equal division of income and access to assets
35,16,social,social,project approach contributes to equitable access to rights
35,17,social,social,project approach improves health status of local people and consumers
35,18,social,adaptive capacity,project improves net income
35,19,social,adaptive capacity,project improves diversity in employment opportunities
35,20,social,adaptive capacity,project improves chance for off-farm earnings
35,21,social,adaptive capacity,project improves water technology
35,22,social,adaptive capacity,project improves access to improved farming technology
35,23,social,adaptive capacity,project is technologically flexible to allow application under varying climatic conditions
35,24,social,adaptive capacity,project improves access to transportation network/improves access to different means of transportation
35,25,social,adaptive capacity,project increases access to surface water infrastructure
35,26,social,adaptive capacity,project links farmers to social networks and improves social capital
35,27,social,adaptive capacity,project links farmers to education and training
35,28,social,adaptive capacity,project improves access to reliable information on climate change and variability (early warning system)
35,29,social,adaptive capacity,project increases knowledge on adequate and timely responses in farm management to climate variabilities
35,30,social,adaptive capacity,project contributes to a more equitable access to resources
35,31,social,climate resilience,self-organization for equity in resource access and allocation exists
35,32,social,climate resilience,self organization in response to external drivers is given
35,33,social,climate resilience,political commitment and responsibilities are assigned
35,34,social,climate resilience,"drought hazard and vulnerability analysis are carried out, analysis, monitoring, impact assessment and communication mechanisms are established"
35,35,social,climate resilience,effective and affordable practices for mitigation of climate effects are employed (for an assessment see step 5)
35,36,social,climate resilience,a well-informed public and participatory process for awareness creation and training is established
35,37,social,climate adaptation,"project leads to land topography change to improve water uptake and reduce wind erosion (e.g. wind breaks, field bunds, etc)"
35,38,social,climate adaptation,project leads to conservation of soil moisture and nutrients and/or reduction of run-off and control of soil erosion
35,39,social,climate adaptation,"project introduces/improves water resource management (e.g. increasing irrigation efficiency, rain water harvesting, etc.)"
35,40,social,climate adaptation,"project introduces/improves crop management (e.g. adjustment of planting dates, staggering of seeding, flexible cropping patterns, etc.)"
35,41,social,climate adaptation,"project leads to diversification of crops (e.g. more perennial crops, drought tolerant crop varieties and grasses, etc.)"
35,42,social,climate adaptation,"project leads to diffusion of farming practices that limit risk of crop failure (e.g. rotation of different crop types and varieties, spatially separated crops to diversify exposure, spatially separated pastures, etc.)"
35,43,social,climate adaptation,project diversifies farm income
35,44,social,climate adaptation,project activities lead to accumulation of commodity stocks as economic reserve
35,45,social,climate adaptation,project induces/contributes to set-up of crop insurance
35,46,environment,climate change mitigation,measures that increase soil carbon storage through optimal plant growth by use of improved/adequate crop varieties with good production potential in adequately fertilized soils
35,47,environment,climate change mitigation,extension of crop rotations that allocate carbon under ground (e.g. perennials)
35,48,environment,climate change mitigation,avoidance of fallow to use potential for carbon storage in organic material above and below ground
35,49,environment,climate change mitigation,rotation with leguminous crops and/or use of cover crops in order to fix atmospheric nitrogen
35,50,environment,climate change mitigation,"adoption of cropping systems which reduce pesticide and fertilizer use and other inputs in order to reduce co2 emissions, leaching of nitrogen and emission of volatile nitrogen compounds"
35,51,environment,climate change mitigation,measures which ensure more efficient use of nitrogen from fertilizer and manure and reduction of surplus n2o (also leads to reduction of co2 emissions from fertilizer manufacture)
35,52,environment,climate change mitigation,adjustment of nitrogen application rate according to crop needs and/or use of slow release fertilizer and/or improved timing in fertilizer application and/or optimal placing of fertilizer to allow better uptake by plants
35,53,environment,climate change mitigation,reduced or no-tillage weed control in order to prevent soil carbon decomposition and erosion (also reduces co2 emissions from energy use)
35,54,environment,climate change mitigation,retention of crop residues in soils in order to increase soil carbon
35,55,environment,climate change mitigation,expansion of irrigated area which can increase yields and residue returns and improves the amount of carbon stored in plants and soils
35,56,environment,climate change mitigation,drainage of crop lands in order to achieve better carbon uptake in plants and improve aeration of soils
35,57,environment,climate change mitigation,additional growth of tree crops in order to increase standing carbon stock and carbon sequestration in root system
35,58,environment,climate change mitigation,"reversion of cropland to another land cover (grassed waterways, field margins, shelterbelts) leading to lower soil disturbance and carbon removal (only applicable if access cropland exists!)"
35,59,environment,climate change mitigation,management of grazing intensity in order to ensure efficient animal nutrition and optimal plant growth
35,60,environment,climate change mitigation,"increase in productivity of grasslands (fertilization, irrigation, etc.) by improving carbon storage"
35,61,environment,climate change mitigation,tailored nutrient management in accordance with plant uptake
35,62,environment,climate change mitigation,"reduction of frequency of on-site biomass burning in order to reduce ozone production, methane, aerosol and n2o release, also reduction of albedo"
35,63,environment,climate change mitigation,introduction of species with deeper roots or better productivity to increase soil carbon
35,64,environment,climate change mitigation,introduction of legumes to increase soil carbon storage and reduction of emission from other sources of nitrogen (during application and production)
35,65,environment,climate change mitigation,"re-vegetation and/or fertility improvement and/or application of organic matter and/or conservation of water, etc. in order to increase carbon sequestration in standing crop and soils"
35,66,environment,climate change mitigation,improved feeding to limit emissions per kg-feed intake and per kg-product
35,67,environment,climate change mitigation,herd management to reduce number of animals and ensure slaughter at young age
35,68,environment,climate change mitigation,handling of manure in solid instead of liquid form to reduce methane emissions or capture of methane
35,69,environment,climate change mitigation,covering manure heaps in order to reduce n2o emissions
35,70,environment,climate change mitigation,composting of manure
35,71,environment,climate change mitigation,use of agricultural (by-) products as fuels while utilizing recent atmospheric co2
1,1,environment,soil management ,frequency of soil analysis
1,2,environment,soil management ,change in soil organic matter levels
1,3,environment,soil management ,has and acts on soil protection review
1,4,environment,soil management ,% of arable land left as bare ground
1,5,environment,soil management ,% of cropped arable land 
1,6,environment,soil management ,out‐winter cattle
1,7,environment,soil management , any poaching over winter
1,8,environment,soil management , % of land affected by erosion
1,9,environment,soil management ,measures to reduce the risk of erosion and run off
1,10,environment,biodiversity,level of agri‐environmental participation
1,11,environment,biodiversity,"number of the ""in-field"" oels options"
1,12,environment,biodiversity,contributing to the targets for the campaign for the farmed environment
1,13,environment,biodiversity,area with bap (biodiversity action plan) habitat or sinc
1,14,environment,biodiversity,manage land with a view to conservation and improving biodiversity
1,15,environment,biodiversity,farm protected area and rating by natural england
1,16,environment,biodiversity,survey/monitor flora and fauna species on farm
1,17,environment,biodiversity,number of rare/red list species on farm
1,18,environment,biodiversity,voluntary conservation plan
1,19,environment,biodiversity,received any biodiversity awards
1,20,environment,biodiversity,amount of land which is permanent pasture
1,21,environment,biodiversity,% of land where restoring and/or establishing wildlife habitats
1,22,environment,biodiversity,maintaining habitats
1,23,environment,biodiversity,"% of permanent pasture is managed as ""low input"" or ""very low input"""
1,24,environment,biodiversity,% of arable area contains buffer strips
1,25,environment,biodiversity,% of arable land left as over‐wintered stubble
1,26,environment,biodiversity,amount of land that is woodland consisting of native species
1,27,environment,biodiversity,manage farm woodland
1,28,environment,biodiversity,exclude livestock from woodland
1,29,environment,biodiversity,protect in‐field trees
1,30,environment,biodiversity,length of new hedge planted in the last 10 years per 100 hectare
1,31,environment,biodiversity, frequency of maintaining hedges
1,32,social,landscape and heritage , historic features present on the farm
1,33,social,landscape and heritage ,historic feature in good condition
1,34,social,landscape and heritage ,maintenance/care of historic features
1,35,social,landscape and heritage ,farm's landscape reflect the  jca (joint character area)/ nca (national character area) of the area
1,36,social,landscape and heritage ,high environmental value (hev) boundaries on your farm
1,37,social,landscape and heritage ,number of hedgerow trees per 100m on farm
1,38,social,landscape and heritage ,"action to restore appropriate boundary features (e.g hedges, hedge banks, earth banks, stone faced banks, stone walls, ditches)"
1,39,environment,water management ,number of resource protection oels options on farm
1,40,environment,water management ,intensity of action(s) is/are being taken for water resource protection
1,41,environment,water management ,have and are acting on water audit/management plan
1,42,environment,water management ,quantity of water used on farm is recycled
1,43,environment,water management ,quantity of rainwater or groundwater harvested for use on farm
1,44,environment,water management ,crops irrigated
1,45,environment,water management , % of uaa irrigated using mains or abstracted water
1,46,environment,water management ,water application system used
1,47,environment,water management , rate of water applied by your system
1,48,environment,water management ,irrigation system operates at its design pressure in each field
1,49,environment,water management ,system uniformly applies water within each field
1,50,environment,water management ,modify irrigation applications in response to forecast/weather conditions
1,51,environment,water management ,summer irrigate from mains/abstracted water or collect/store water over winter and extract when necessary
1,52,environment,water management ,"physical condition of your pumping, distribution and application system"
1,53,environment,manure management and nutrients,method used to determine the level of nutrient application for crops
1,54,environment,manure management and nutrients,"knowledge of n,p, k content of organic manures/composts applied"
1,55,environment,manure management and nutrients,type of storage/management of manure 
1,56,environment,manure management and nutrients,method for storing slurry
1,57,environment,manure management and nutrients,condition of the floor of slurry storage system
1,58,environment,manure management and nutrients,number of months storage capacity for slurry/dirty water
1,59,environment,manure management and nutrients,frequency of completely emptying and inspecting waste storage facilities
1,60,environment,manure management and nutrients,method of spreading slurry
1,61,environment,manure management and nutrients,period between application of manure and/or slurry
1,62,environment,manure management and nutrients,time of year do you spread manures/slurries
1,63,environment,manure management and nutrients,% of farm waste is recycled
1,64,environment,manure management and nutrients,safe disposal of unused/unwanted medicines
1,65,environment,manure management and nutrients, outwinter sheep and/or cattle
1,66,environment,manure management and nutrients,poaching over winter
1,67,environment,energy and carbon,monitor/record on‐farm energy use
1,68,environment,energy and carbon,completed an energy audit to explore efficiency options and acting on it
1,69,environment,energy and carbon,completed a calm audit (www.calm.cla.org.uk)
1,70,environment,energy and carbon,number of climate change oels option 
1,71,environment,energy and carbon,%  converted woodland or grassland to arable in the last 20 years
1,72,environment,energy and carbon,% converted arable land to permanent grassland or woodland in the last 20 years
1,73,environment,energy and carbon, % energy use is from renewable sources
1,74,environment,energy and carbon,produce energy on farm 
1,75,human,food security ,yield compared with average yields for similar types of farm
1,76,human,food security ,"% of produce (by weight) is sold as local sales (<10 miles), county sales, regional sales, national sales, international sales"
1,77,human,food security ,% of your total feed (forage and concentrate) is bought in from off‐farm
1,78,human,food security ,received awards for food quality/local food production
1,79,human,food security ,level of food quality certification 
1,80,human,food security ,"hectares of farm used to grow fruit, roots and other vegetables"
1,81,human,food security ,% (by weight) of your crops goes for human consumption rather than animal consumption
1,82,production,agricultural systems diversity ,"diversity of crop rotation, numbers of crop types"
1,83,production,agricultural systems diversity ,number of species/varieties for each group of crops
1,84,production,agricultural systems diversity ,number of livestock species 
1,85,production,agricultural systems diversity ,numbers of livestock breeds/crossbreeds
1,86,production,agricultural systems diversity ,number of market outlets
1,87,production,agricultural systems diversity ,process on farm products
1,88,social,social capital ,number of employed staff
1,89,social,social capital ,number of staff training days per year
1,90,social,social capital ,level of qualification of staff
1,91,social,social capital ,number of visitor events per year
1,92,social,social capital ,number of visitors come through the farm gate
1,93,social,social capital , awards for staff welfare/community engagement
1,94,social,social capital ,"""investors in people"" award or any other similar corporate social responsibility accreditations"
1,95,social,social capital ,member of an ethical trade scheme
1,96,social,social capital ,level of public access to farm
1,97,social,social capital ,maintain areas of public access
1,98,social,social capital ,promote public access
1,99,social,social capital , exposure of workers  to hazardous chemicals
1,100,social,social capital ,coshh assessment
1,101,social,social capital ,health and safety enforced on the farm
1,102,social,social capital ,description of working environment on farm
1,103,economic,farm business resilience ,price of produce
1,104,economic,farm business resilience ,change in net assets last year
1,105,economic,farm business resilience ,able to carry out desired investments
1,106,economic,farm business resilience ,number of farm income sources
1,107,economic,farm business resilience ,frequency of financial review
1,108,economic,farm business resilience ,how well farm is doing financially 
1,109,economic,farm business resilience ,expect to still be in business next year
1,110,economic,farm business resilience ,expect your farm to still be farmed in the next decade
1,111,production,animal health and welfare,number of labour units (ftes) looking after livestock
1,112,production,animal health and welfare,number of inspections per day on livestock for signs of illness/injury
1,113,production,animal health and welfare,stock‐people are trained
1,114,production,animal health and welfare,has a health plan
1,115,production,animal health and welfare,vet/external consultant involved in drawing up health plan
1,116,production,animal health and welfare,expenses on veterinary medicines 
1,117,production,animal health and welfare,disease prevention considered in breed/ breeding stock selection
1,118,production,animal health and welfare,mortality/culling rates on your farm
1,119,production,animal health and welfare,longevity of your animals (dairy herds)
1,120,production,animal health and welfare,mastitis incidence in herd 
1,121,production,animal health and welfare,lameness incidence in herd
1,122,production,animal health and welfare,management methods to reduce parasite burdens while minimising the use of anthelmintics
1,123,production,animal health and welfare,restrict grazing/outdoor access at certain times of year
1,124,production,animal health and welfare,access to grazing/outdoors on a daily basis during times of year when they are not kept in
1,125,production,animal health and welfare,method for judging animals' ability to perform natural behaviour
1,126,production,animal health and welfare,description of housing/grazing options available to  livestock
1,127,production,animal health and welfare,quality of housing designed
1,128,production,animal health and welfare,feed and water positioned to minimise the risk of contamination
1,129,production,animal health and welfare," rspca ""freedom foods"" certification or organic certification"
1,130,production,animal health and welfare,biosecurity plan and disease control measures in place
1,131,production,animal health and welfare,method for dealing new livestock coming on to farm
60,1,economic,economic contribution,proportion of the population living below the national poverty line
60,2,economic,economic contribution,the annual growth rate of per capita gdp in giahs sites
60,3,economic,economic contribution,growth rate of gdp directly due to giahs.
60,4,social,social equity,proportion of female contributors in giahs sites
60,5,social,social equity,proportion of females who own a mobile phone
60,6,social,social equity,proportion of giahs workforce (5–17 years old)
60,7,environment,environmental protection,"inputs into water and sanitation protection (e.g., integrated water resources management, wastewater treatment, rainwater collection, etc.) ("
60,8,environment,environmental protection,inputs into the conservation of world cultural and natural heritage
60,9,environment,environmental protection,land area where biodiversity is fully protected
60,10,environment,ecological resources,area of important sites for regional terrestrial and freshwater biodiversity
60,11,environment,ecological resources,forest and grass coverage
60,12,environment,disaster resilience,direct economic losses caused by natural disasters or accidents
47,1,social,metadata,informed consent
47,2,social,metadata,"location of the survey (village, district, region, country)"
47,3,social,metadata,project beneficiary
47,4,social,metadata,local monetary unit
47,5,social,metadata,gps coordinates of where the interview took place
47,6,social,household demographics,respondent sex
47,7,social,household demographics,whether respondent is household head
47,8,social,household demographics,age of respondent
47,9,social,household demographics,type of household (single female
47,10,social,household demographics,single male
47,11,social,household demographics,couple
47,12,social,household demographics,couple - spouse living away)
47,13,social,household demographics,age and sex of household members
47,14,economic,land use/tenure,total land area cultivated
47,15,economic,land use/tenure,amount of land owned
47,16,economic,land use/tenure,access to common land
47,17,economic,land use/tenure,land rented out/in
47,18,economic,crop production and use,"crops/vegetables/fruits/trees grown, area grown"
47,19,economic,crop production and use,production per year/season
47,20,economic,crop production and use,"use of products (sold, consumed, stored, processed, given away)"
47,21,economic,crop production and use,price of crop products
47,22,economic,crop production and use,use of crop residues
47,23,environment,agricultural inputs and management,"use of mineral fertilizer, manure, pesticides"
47,24,environment,agricultural inputs and management,"irrigation: type, area and/or amount used"
47,25,environment,agricultural inputs and management,intercropping
47,26,environment,agricultural inputs and management,agroforestry
47,27,environment,agricultural inputs and management,medicine use for livestock
47,28,production,livestock,livestock species kept on farm
47,29,production,livestock,production per year/season
47,30,production,livestock,"use of products (sold, consumed, stored, etc.)"
47,31,production,livestock,price of livestock products
47,32,production,wild foods,relative importance of wild foods for food security
47,33,production,wild foods,months of the year collected
47,34,production,wild foods,most important wild food items
47,35,social,food security and hunger,9 standard questions of hunger and food insecurity access scale (hfias)
47,36,social,food security and hunger,number of months with hunger
47,37,social,food security and hunger,identification of worst and best month in terms of food security
47,38,social,household dietary diversity,"10 food groups of the minimum dietary diversity score for women in the worst, best and last month"
47,39,social,household dietary diversity,"source of each food group (farm-based, purchased, gathered or a combination of sources)"
47,40,economic,off-farm income,relative importance of off-farm income in overall income
47,41,economic,off-farm income,"use of income (reinvestment in farm, household (non-food) expenses, food purchase)"
47,42,governance,"credit, aid and debts",household access to credit
47,43,governance,"credit, aid and debts","dependency on/receipts of aid in the last 12 months, from institutions or neighbours"
47,44,governance,"credit, aid and debts",household debt
47,45,social,poverty,probability of poverty index (ppi)
47,46,social,gendered control of produce and income,"per produce and income item: who takes decisions on sale, spending, and consumption"
55,1,economic,food loss,food loss as % of total food production
55,2,economic,market access,total agricultural export values as a percentage of agricultural gdp (trade openness)
55,3,economic,agricultural support,government agricultural expenditure per agricultural worker (government support)
55,4,economic,farmer's risks,crop price volatility (price volatility)
55,5,economic,credit availability ,access to finance for farmers (finance access)
55,6,economic,agricultural labour productivity,agricultural gdp per agricultural worker (labour productivity)
55,7,environment,water availability,sustainability of irrigation water consumption (water consumption)
55,8,environment,pollution,n surplus
55,9,environment,pollution,p surplus
55,10,environment,land use and loss of biodiversity,the lost forested area due to agricultural activities (land use change)
55,11,environment,climate change,total greenhouse gas emission from agriculture activities per harvested area (greenhouse gas)
55,12,environment,soil health,soil erosion (ton/ha)
55,13,social,resilience,crop production diversity h index (crop diversity)
55,14,social,resilience,food affordability by low-income population (food-affordability)
55,15,social,health and nutrition,prevalence of under-nourishment (under-nourishment)
55,16,social,farmer's wellbeing ,rural poverty ratio (rural poverty)
55,17,economic,equality,global gender gap report score (gender gap)
55,18,environment,farmers' rights ,land rights
63,1,environment,ecological security ,population density (per km2 ) 
63,2,environment,ecological security ,proportion of geographical area under forest (%) 
63,3,environment,ecological security ,cropping intensity (%) 
63,4,environment,ecological security ,livestock density (per km2 ) 
63,5,environment,ecological security ,net irrigated area (ha) 
63,6,environment,ecological security ,population growth (%)
63,7,environment,ecological security ,net annual groundwater availability (ha-m) 
63,8,economic,economic efficiency,total food grain yield (kg/ha)
63,9,economic,economic efficiency,total milk production (tonne)
63,10,economic,economic efficiency,total milk production (tonne)
63,11,economic,economic efficiency,fertilizer consumption
63,12,economic,economic efficiency,unemployment
63,13,social,social social equity,percentage of population below poverty line (%)
63,14,social,social equity,percentage of population below poverty line (%)
63,15,social,social equity,female literacy rate (%)
63,16,social,social equity,infant mortality rate (%)
63,17,social,social equity,rural road connectivity (km per lakh of population)
63,18,social,social equity,rural road connectivity (km per lakh of population)
63,19,social,social equity,number of commercial bank branches (per lakh population)
63,20,social,social equity,number of primary health centres (per lakh population)
137,1,economic; environment,vitality,economic viability
137,2,economic; environment,vitality,level of economic specialization
137,3,economic; environment,"independence, ",financial self-sufficiency
137,4,economic; environment,"independence, ",financial sustainability
137,5,economic; environment,energy security,energy security
137,6,economic; environment,efficiency,production profitability
137,7,environment,diversification,annual crop variety
137,8,environment,diversification,perennial crop variety
137,9,environment,diversification,animal variety
137,10,environment,diversification,level of territory cultivation
137,11,environment,space organization,crop rotation
137,12,environment,space organization,land size
137,13,environment,space organization,fertilized area
137,14,environment,space organization,environmental protection expenditure
137,15,environment,space organization,space usage
137,16,environment,space organization,feeding area management
137,17,environment,agricultural practice,land management
137,18,environment,agricultural practice,veterinary treatment
137,19,environment,agricultural practice,pesticides(pollution pressure)
137,20,environment,agricultural practice,liquid organic waste
137,21,environment,agricultural practice,fertilizer treatment
137,22,environment,agricultural practice,water resource management
137,23,environment,agricultural practice,energy dependence
137,24,social; economic,production and territories quality,products provision
137,25,social; economic,production and territories quality,land suitability
137,26,social; economic,production and territories quality,labour resource provision
137,27,social; economic,production and territories quality,workforce productivity
137,28,social; economic,employment and service provision,employment
137,29,social; economic,employment and service provision,services
137,30,social; economic,employment and service provision,average salary
137,31,social; economic,employment and service provision,labour intensity
137,32,social; economic,social development,structure of social expenditures
137,33,social; economic,social development,the share of economically active population
137,34,social; economic,social development,profit per person
137,35,social; economic,social development,education index
90,1,economic,NA,income of agricultural producers (income)
90,2,economic,NA,contribution of agriculture to gdp (contgdp)
90,3,economic,NA,insured area (insuarea)
90,4,social,NA,agricultural employment (agrilabo)
90,5,social,NA,stability of work force (labostab)
90,6,social,NA,risk of abandonment of agricultural activity (riskaban)
90,7,social,NA,economic dependence on agricultural activity (ecodepen)
90,8,environment,NA,soil cover (soilcov)
90,9,environment,NA,nitrogen balance (nitrobal)
90,10,environment,NA,pesticide risk (pestrisk)
90,11,environment,NA,energy balance (energbal)
90,12,environment,NA,agroenvironmental subsidy areas (agroenv)
37,1,environment,landscape ecology dimension,natural habitats physiognomy and status
37,2,environment,landscape ecology dimension,management of agricultural production areas
37,3,environment,landscape ecology dimension,management of confined activities and animal husbandry
37,4,environment,landscape ecology dimension,conformity with mandatory legal preserve
37,5,environment,landscape ecology dimension,conformity with mandatory permanent preservation areas
37,6,environment,landscape ecology dimension,ecological corridors
37,7,environment,landscape ecology dimension,landscape diversity
37,8,environment,landscape ecology dimension,productive diversity
37,9,environment,landscape ecology dimension,degraded areas reclamation
37,10,environment,landscape ecology dimension,incidence of vectors of endemic diseases
37,11,environment,landscape ecology dimension,endangered species local extinction risk
37,12,environment,landscape ecology dimension,fire risk
37,13,environment,landscape ecology dimension,geotechnical hazards
37,14,environment,quality of environmental compartments,atmosphere
37,15,environment,quality of environmental compartments,water
37,16,environment,quality of environmental compartments,groundwater
37,17,environment,quality of environmental compartments,soil quality
37,18,social,sociocultural values dimension,access to education
37,19,social,sociocultural values dimension,access to public services
37,20,social,sociocultural values dimension,consumption standards
37,21,social,sociocultural values dimension,access to sports and leisure
37,22,social,sociocultural values dimension,"conservation of historic, artistic, archaeological, and speleological legacy sites"
37,23,social,sociocultural values dimension,employment quality
37,24,social,sociocultural values dimension,occupational safety and health
37,25,social,sociocultural values dimension,local opportunity for higher qualification employment
37,26,economic,economic values,establishment net income
37,27,economic,economic values,diversity of income sources
37,28,economic,economic values,income distribution
37,29,economic,economic values,current indebtedness
37,30,economic,economic values,land value
37,31,economic,economic values,dwelling quality
37,32,governance,management and administration,manager profile and dedication
37,33,governance,management and administration,commercialization conditions
37,34,governance,management and administration,wastes management
37,35,governance,management and administration,management of chemical inputs and residues
37,36,governance,management and administration,institutional relationships
38,1,environment,soil quality, organic matter content
38,2,environment,soil quality, phosphorus soil saturation
38,3,environment,cropping practices, perennial crops
38,4,environment,cropping practices, annual crops: soil tillage practices
38,5,environment,cropping practices, annual crops: green manure
38,6,environment,cropping practices, annual crops: crop rotations
38,7,environment,cropping practices, annual crops: integrated pest management
38,8,environment,fertilization management, manure storage structure
38,9,environment,fertilization management, manure management
38,10,environment,fertilization management, phosphorus balance
38,11,environment,fertilization management, nitrogen balance
38,12,environment,farmland management, watercourse protection
38,13,environment,farmland management, land drainage
38,14,environment,farmland management, windbreaks
38,15,environment,farmland management, field slope
38,16,environment,farmland management, onfarm woodlot
38,17,production,technical management, production per cow
38,18,production,technical management, milk from forages
38,19,production,economic viability, security margin
38,20,production,economic viability, debt per hl
38,21,production,expense control, operational expense on gross income
38,22,production,expense control, machinery expense per hl
38,23,production,labor efficiency, milk per worker (labour unit)
38,24,production,forage self sufficiency, forage self sufficiency
38,25,social,quality of life, work and workload
38,26,social,quality of life, holidays
38,27,social,quality of life, satisfaction
38,28,social,quality of life, social support
38,29,social,quality of life, health and stress
38,30,social,quality of life, social and professional relationships
38,31,social,social integration, contribution in local services
38,32,social,social integration, agricultural neighborhood
38,33,social,social integration, cohabitation
38,34,social,social integration, social contribution
38,35,social,social integration, regional presence of agriculture
38,36,social,farm succession,continuity value
38,37,social,farm succession,presence of farm succession
38,38,social,farm succession,preparation for retirement
38,39,social,farm succession,farm succession integration
38,40,social,entrepreneurship,formation
38,41,social,entrepreneurship,use of advisory services
38,42,social,entrepreneurship,vision
38,43,social,entrepreneurship,human resources management
38,44,social,entrepreneurship,entrepreneurial abilities
128,1,economic,NA,agricultural gross domestic product 
128,2,economic,NA,land productivity 
128,3,economic,NA,labor productivity 
128,4,environment,NA,organic fertilization 
128,5,environment,NA,soil cover for agriculture
128,6,environment,NA,emissions of most air pollutants from stationary sources 
128,7,social,NA,proportion of rural population 
128,8,social,NA,share of rural and residents’ income 
39,1,economic,productivity,yield
39,2,economic,productivity,natural resource status
39,3,economic,productivity,physical facility status
39,4,economic,profitability,benefit-cost ratio
