tool_id,include,reason_exclude,missing_dimension,reviewer_name,tool_name,acronym,rayyan_ref,web_ref,author,developer,year_published,updated,year_updated,updated_ref,promoted_tool,specify_indicators,wider_use,wider_use_evidence,wider_use_notes,adapted,adapted_ref,sustain_framing,dimensions,themes,theme_no,social_themes,enviro_themes,economic_themes,human_themes,gov_themes,product_themes,named_framework,Conceptual_framing,framing_definition,sgd,framing_indicator_link,Indicator_convenience,sustainability_view,tool_orientiation,stakeholder_design,scale_measure,scale_report,localisable,country_use,system_type,visualise_framework,target_user,intended_function,comparison_type,verifiable,local_indicators,stakeholder_involved,indicator_selection,data_type,data_collection,complexity,access,paid_access,online_platform,guide_assess,guide_analysis,guide_interpret,guide_data_gov,informed_consent,visualise_result,visualise_type,assessment_results,metric_no,collection_time,interval,interaction,interaction_expl,scaleable,aggregation,weighting,weighting_preference,comments,once_multi,metric_eval
57,Yes,NA,NA,Edith,Target Climate Smart Agriculture,TargetCSA,363932858,https://www.sciencedirect.com/science/article/pii/S0308521X1530069X,"Brandt et al., 2017",Food & Agricultural Organization (FAO),2015,NA,N/A,N/A,Yes (Framework),Yes,Yes,https://www.sciencedirect.com/science/article/pii/S2212096322000626,About 64 citations; used in Kenya; Tanzania; Zambia,Yes,https://doi.org/10.1111/conl.12066,Classical view,Economic; Social; Biophysical,Annual precipitation; Soil organic matter; Percentage of households with access to safe water sources; Literacy rate; Female participation in economic activities; Connectivity through transport infrastructure;Improvement of soil fertility and soil management; Identification and distribution of drought tolerant cereal crops; Reduction of greenhouse gas emissions from the livestock sector; Improvement of water harvesting and water management; Identification and establishment of agroforestry practices; Implementation of livestock insurances,12,Households with access to safe water sources; Literacy rate,Annual precipitation; soil organic matter;Improvement of soil fertility & soil management; identification&distribution of drought tolerant cereal crops; Improvement of water harvesting & management; Reduction of GHG emissions from the livestock sector,Female participation in economic activities; Connectivity through transport infrastructure,Literacy rate,Reduction of GHG emissions from the livestock sector; identification& distribution of drought tolerant cereal crops,Improvement of soil fertility & soil management,Uses own framework,Uses own framework,N/A,2; 6; 7; 8; 13; 15; 17,No,Data availability,N/A,Researcher/experts/developers only,governments;civil societies;scientific institutions&private sectors,National,"National, landscape",Adaptable,Kenya; Africa,smallholder farms; large/commercial farms,Yes,Policy makers; Researchers; NGOs; Development actors; Agricultural advisors,"Research(R); Policy Advice(PA),",Between cases,No,Yes,No; Expert consultation,No,quantative & spartially explicit data,Database,Low,Registration,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,Bar charts/bar graphs; maps,"Rating scale, saaty scale",8,Low(<2h);uses existing data sets,Months,Yes,Yes,Yes,Yes,Yes,Areas with high vulnerability to climate change; areas with high suitability for CSA practices.,This was about climate change vulnerability indicators & CSA practices as well as linkages between indicators and practices,Once,
58,Yes,NA,NA,Edith,Framework for Evaluating Sustainable Land Management,FESLM,363931732,https://www.sciencedirect.com/science/article/abs/pii/S0167880900001870,"Lefroy et al., 2000",Unknown,2000,No,NA,NA,Yes,Yes,Yes,https://www.sciencedirect.com/science/article/abs/pii/B9780128052006000025;https://www.sciencedirect.com/science/article/abs/pii/S0341816214000393,58 citations; adapted for use in Tanzania; Ethiopia,Yes,https://www.sciencedirect.com/science/article/abs/pii/S0341816214000393;https://www.sciencedirect.com/science/article/abs/pii/B9780128052006000025,Classical view,Social; Economic; Political; Environmental,Productivity; Security; Protection; Economic viability; Social acceptability,5,Tenurial status; Access to extension services; Access to primary schools; Access to health centre; Access to agricultural inputs; Subsidy for conservation practices; Training in conservation practices; Village road links to major roads,Yield; Soil colour; Plant growth; Leaf colour; Average annual rainfall; Drought frequency; Topsoil eroded; Cropping intensity and extent of protection; Cropping pattern,Income from livestock; Net farm income; off-farm income; Difference between market and farm price; Availability of farm labour; Land holding size; Availability of farm credit; Percentage of farm produce sold in market,Access to health centre; Subsidy for conservation practices; Training in conservation practices,Access to agricultural inputs; Subsidy for conservation practices; Access to extension services,Yield; Soil colour (SOM); Plant growth; Leaf colour,"Framework for evaluating sustainable land management (FESLM) attempts to connect all aspects of land use under investigation with the interacting conditions of the natural environment, the economy and socio-cultural and political life. Its aim is to develop a tool for identification of unsustainable and sustainable systems and which will produce a structured and interrelated checklist of variables and factors which can be used to systematically evaluate the sustainability of a wide range of agro-ecological systems.","Framework for evaluating sustainable land management (FESLM) attempts to connect all aspects of land use under investigation with the interacting conditions of the natural environment, the economy and socio-cultural and political life. Its aim is to develop a tool for identification of unsustainable and sustainable systems and which will produce a structured and interrelated checklist of variables and factors which can be used to systematically evaluate the sustainability of a wide range of agro-ecological systems.","The concept of sustainability is a dynamic concept in the sense that what is sustainable in one area may not be in another, and what was considered sustainable at one time may no longer be sustainable today or in the future because conditions or attitudes have changed.",1; 2; 3; 4; 5; 11; 12; 15,No,Yes,Both,Co-designed from start,Farmers; Scientists; Extension workers,Farms; Individual households,Farm/household; landscape; farming systems,Widely applicable; adaptable,Vietnam; Indonesia; Thailand; Nepal,Smallholder farms,Yes,Farmers; extension workers,MP,change over time,yes,Yes,Yes,Participatory,Qualitative(Predicted),Household/farm surveys; open-ended questionnaires,Low,unknown,NA,unknown,yes,yes,yes,no,Unknown,yes,tables,scoring system,26,Uses researcher estimates,unknown,yes,Threshold levels of selected & integrated indicators are developed to cover a range of systems,yes,yes,yes,NA,NA,Once,
59,No,Not holistic,economic; social,Edith,Indicator of sustainable agricultural practice,ISAP,NA,https://www.researchgate.net/publication/222394934_Constructing_a_Farm_Level_Indicator_of_Sustainable_Agricultural_Practice,"Rigby et al., 2001",NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,Yes,NA,NA,Beatrice,UN SDGs-Based Sustainability Evaluation Framework for Globally Important Agricultural Heritage Systems,GIAHS,363933623,https://www.mdpi.com/2071-1050/13/17/9957,"Zhao et al., 2021",Food and Agricultural Organization (FAO),2002,yes,2021,https://www.mdpi.com/2071-1050/13/17/9957,yes,yes,no,NA,"Since its development, only few studies had ecplored its role in sustainability evaluation. This leld to the it being updated by integrating aspects of the 3 sustainability dimensions.",yes,https://www.mdpi.com/2071-1050/13/17/9957,Classical view,Environmental; social; economic,Economic contribution; social equity; Environmental protection; ecological resources; Disaster resilience,5,Social equity,Environmental protection; Ecological resources,Economic contribution,NA,NA,NA,UN's Sustainable development goals 2030 Agenda for Sustainable Development,UN's Sustainable development goals 2030 Agenda for Sustainable Development,"state of sustainable development, means changes caused by various human activities such as socio-economic ones. “Response” refers to the choice and reflection of the changing state of sustainable development, that is, social system",1;2; 3; 5; 6; 7; 8; 9; 10; 12; 13; 14; 15; 17,yes,yes,performance-based,researcher/developer only,Research experts,farm/household; national,farm/household; national,context-specific,China,Both,No,Farmers; researchers,ST; R,between cases,yes,yes,yes,Expert consultation,Quantitative(measured); Quantitative(researcher estimate); qualitative(narrative),household/farm surveys; field measurements,medium,yes,no,no,yes,no,yes,no,Unknown,no,unknown,scoring system,12,Medium,Unknown,No,No,Yes,Yes,Yes,No,NA,Once,Complete
61,No,No accesss,NA,Beatrice,"Qu et al., 1998",NA,363931665,https://www.taylorfrancis.com/chapters/edit/10.4324/9780429459702-19/evaluating-sustainability-intensive-farming-systems-china-qu-zhang-wu,"Qu et al., 1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,No,Not holistic,social; environment,Beatrice,"Tisdell, 1999",NA,363931677,https://www.sciencedirect.com/science/article/abs/pii/0167880996010171,"Tisdell,1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,Yes,NA,NA,Beatrice,Sustainable Livelihood Security Index,SLSI,363932764,https://www.researchgate.net/publication/318479461_Estimating_agricultural_sustainability_in_Gujarat_using_sustainable_livelihood_security_index. file:///C:/Users/badoyo/Downloads/Y2010Sustainablelivelihoodsecurityindexinadevelopingcountry%20(2).pdf. https://www.sciencedirect.com/science/article/abs/pii/S1470160X09001332,"Ghabru et al., 2017",MS Swaminathan Research Foundation,1991,yes,1993,https://www.researchgate.net/publication/240410576_Sustainable_livelihood_security_index_in_a_developing_country_A_tool_for_development_planning#fullTextFileContent,yes,yes,NA,NA,The tool was developed for 15 agro-climatic regions of India and has been applied majorly in Gujarat district by the developer hence not widely applied,No,NA,Classical view,Environmental; social; economic,Ecological Security; Social Equity; Economic Efficiency,3,Social Equity,Ecological Security,Economic Efficiency,NA,NA,NA,Sustainable Livelihood Approach (SLA) framework.,Sustainable Livelihood Approach (SLA) framework.,"Sustainable Livelihood Security (SLS) are livelihood options that are ecologically secure, economically efficient and socially equitable. Livelihood security means secured ownership of, or access to, resources and income-earning activities, including reserves and assets to offset risks, ease shocks and meet contingencies",1; 3; 5; 8; 9; 10; 11; 12; 13; 15,unknown,yes,performance-based,researcher/developer only,agricultural advisors; researchers,field/plot; farm/household;landscape,landscape; national,"context-specific, adaptable",India,Both,No,Policy makers; planners; administrators; and development workers,PA;R,between cases,No,No,Yes,Expert consultation,Quantitative (researcher estimated); Quantitative (enumerator/farmer estimated),focus group; firm/business survey; expert opinion,Low,No restriction,No,No,Yes,Yea,no,Unknown,Unknown,No,NA,Scoring system,20,Medium,Years,No,The SLSI tool helps only in establishing the ranking among a given set of entities but does not say ‘how much’ an entity has performed compared to others.,Yes,Yes,No,No,NA,Once,
102,Yes,NA,NA,Jaika,"Singh et al., 2008",NA,363932038,https://www.jstor.org/stable/pdf/24100692.pdf,"Singh et al., 2008",NA,2008,NA,NA,NA,Yes,Yes,maybe,"https://scholar.google.com/scholar?cites=74852032636348089&as_sdt=2005&sciodt=0,5&hl=en",cited 35 times; the indices widely used in India,NA,NA,Classical view,Economic; Social and cultural; Biophysical and landscape,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1; 2; 3; 11; 15,NA,NA,NA,NA,NA,NA,NA,Adaptable,NA,NA,No,policy makers,PA,Unknown,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,No,No,NA,NA,NA,NA,6 (these are just statements about what the indices should reflect and not unique indices nor indicators as such),NA,NA,NA,NA,NA,Yes,NA,NA,"A descriptive report about what needs to be considered in identification of agrobiodiversity heritage sites. No data collection procedure reported, no framework nor clear indicators",NA,
103,Yes,NA,NA,Jaika,"Fernandez et al., 2008",NA,363932053,https://www.researchgate.net/publication/4842956_Family_Farm_Sustainability_in_Southern_Brazil_an_Application_of_Agri-environmental_Indicators,"Fernandez et al., 2008",NA,NA,NA,NA,NA,NA,Yes,Maybe,https://www.sciencedirect.com/science/article/pii/S0921800908000657#section-cited-by,46 citations,NA,NA,classical view,Economic; Social; Environmental,NA,NA,NA,NA,NA,NA,NA,NA,Environmental indicators for Agriculture (OECD 1999),Environmental indicators for Agriculture (OECD 1999),NA,1; 2; 3; 4; 6; 7; 8; 17,Unknown,Yes,Performance-based,Both,"Farmers, extension agents, agricultural scientists, state level policy makers",farm/houswehold; Landscape,Farm/household; landscape,adaptable,Brazil,small holder farms,no,"Researchers, policy makers, resource users",ST and R,Compares between cases(ecological and non ecological),Yes,yes,Yes,Participatory,Quantitative (Measured),Database,medium,No Restriction,No,No,No,No,No,no,NA,NA,Yes,NA,15,High,NA,No,NA,NA,No,NA,NA,This is a research study whose methodology can be adapted as an assesment criteria or framework,Once,Complete
64,No,Duplicate,NA,Mary,"Sridhara et al., 2022",NA,363933699,https://www.mdpi.com/2071-1050/14/3/1831,"Sridhara et al., 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,No,Not holistic,environment; social,Mary,"Andreoli and Tellarini, 2000",NA,363931734,https://www.sciencedirect.com/science/article/abs/pii/S0167880999000912,"Andreoli and Tellarini, 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,No,No accesss,NA,Mary,"Vittal and Singh, 2000",NA,363931744,https://www.cabdirect.org/cabdirect/abstract/20023146107,"Vittal and Singh, 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,Yes,NA,NA,Mary,Concerted Action on Landscape and Nature Production Checklist,NA,363931754,https://www.sciencedirect.com/science/article/abs/pii/S0167880999000882,"Van Mansvelt, 1997",NA,1997,Yes,2000,"Stobbelaar et al., 2000",Yes,No,Yes,"See papers in Andreoli and Tellarini, 2000 and Stobbelaar et al., 2000",Seems there was a special issue of case studies that used this framework,No,NA,Classical view; agro-landscape view,Environment; Ecology; Economy; Sociology; Psychology; Cultural,"Clean environment (soil, water, air); food and fibre sufficiency and quality; regional carrying capacity; economic and efficient use of resources; site-adapted and regionally specific production systems; Biodiversity; Ecological coherence; eco-regulation; animal welfare; good farming pays; green economy; regional autonomy; well-being in the area; permanent education of farmers; access to participation; accessibility of the landscape; compliance to the natural environment; good use of the landscape's potential utility; presence of naturalness; rich and fair offer of sensory qualities; experience of unity; experienced historicity; presence of cyclical developments; careful management of the landscape; diversity of landscape components; coherence among landscape elements; continuity of land-use and spatial arrangement",27,well-being in the area; permanent education of farmers; access to participation; accessibility of the landscape; diversity of landscape components; coherence among landscape elements; continuity of land-use and spatial arrangement,"Clean environment (soil, water, air); food and fibre sufficiency and quality; regional carrying capacity; economic and efficient use of resources; site-adapted and regionally specific production systems; Biodiversity; Ecological coherence; eco-regulation; animal welfare",good farming pays; green economy; regional autonomy,compliance to the natural environment; good use of the landscape's potential utility; presence of naturalness; rich and fair offer of sensory qualities; experience of unity; experienced historicity; presence of cyclical developments; careful management of the landscape,NA,NA,"Agro-landscape view. Stobbelaar and Van Mansvelt, 1997. A checklist of parameters for sustainable landscape management has been produced as final report of the above-mentioned Concerted Action on Landscape and Nature Production. Criteria have been organised in six main fields: (i) Environment; (ii) Ecology; (iii) Economy; (iv) Sociology; (v) Psychology; and (vi) Physiognomy/Cultural Geography (van Mansvelt and van der Lubbe, 1999). An overview of the aims and results of the Concerted Action is pro- vided in Stobbelaar and van Mansvelt (2000).","Agro-landscape view. Stobbelaar and Van Mansvelt, 1997. A checklist of parameters for sustainable landscape management has been produced as final report of the above-mentioned Concerted Action on Landscape and Nature Production. Criteria have been organised in six main fields: (i) Environment; (ii) Ecology; (iii) Economy; (iv) Sociology; (v) Psychology; and (vi) Physiognomy/Cultural Geography (van Mansvelt and van der Lubbe, 1999). An overview of the aims and results of the Concerted Action is pro- vided in Stobbelaar and van Mansvelt (2000).","Whitby and Ollerenshaw (1998) state: “An holistic approach is the only one which can offer secure underpinning for effective environmental policies. Holism asserts that complex systems have attributes that will only be understood by examining them as such, rather than by analysing the attributes separately.”",15; 2; 6; 8; 11; 3; 4,NA,NA,Both,Researcher/developer only,researchers; agricultural advisors,Landscape,Landscape,Widely applicable,EU,Large/commercial farms,No,policy makers; researchers,PA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no specific indicators were mentioned. could look at how the framework is applied in the papers it mentions,NA,
68,No,Not an assessment,NA,Mary,"Byerlee and Murgai, 2001",NA,363931755,https://www.sciencedirect.com/science/article/abs/pii/S0169515000001316,"Byerlee and Murgai, 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,Yes,NA,NA,Mary,"Nambiar et al., 2001",NA,363931756,https://www.sciencedirect.com/science/article/abs/pii/S0167880901002791,"Nambiar et al., 2001",NA,2001,No,NA,NA,No,Yes,No,NA,NA,No,NA,Classical view,Environment; social; economic,Agricultural nutrient balance; crop yield; agricultural management; Agri-environmental quality; agricultural biodiversity; economic and social viability; net energy balance; soil quality,8,economic and social viability,Agricultural nutrient balance; agricultural management; Agri-environmental quality; agricultural biodiversity; net energy balance; soil quality,economic and social viability,NA,NA,crop yield,Heavy focus on soil health for sustainable agriculture.,Heavy focus on soil health for sustainable agriculture.,NA,15; 4; 8; 1; 2,Yes,Yes,Performance-based,Researcher/developer only,NA,field/plot; farm/household,Region,Widely applicable,China,Both,No,Researchers,R; ST,between cases; change over time,Yes,No,No,Researcher selected,Quantitative (measured); Qualitative (enumerator/farmer estimated),Unknown,Low,No restriction,No,No,No,No,No,No,No,Yes,Table,indicator ranges; multidimensional indicator; comparison between cases,22,Unknown,Years,No,NA,Yes,Yes,No,NA,No sustainability definition or framing but a heavy focus on soil health,Once,Complete
70,No,Not an assessment,NA,Mary,"Stevenson and Lee, 2001",NA,363931758,https://www.tandfonline.com/doi/abs/10.1080/13504500109470063,"Stevenson and Lee, 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,Yes,NA,NA,Mary,"Nagabhushanam et al., 2001",NA,363931770,http://14.139.155.167/test5/index.php/kjas/article/viewFile/3648/3871,"Nagabhushanam et al., 2001",NA,2001,No,NA,NA,No,Yes,No,NA,NA,No,NA,Classical view,Environment; social; economic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"farming practices that fulfil both the current needs as well as it does not destroy the natural resources base, not deplete the capacity of the land.",15; 2; 10; 5; 8,No,Yes,Both,consulted/feedback incorporated,Experts; researchers,farm/household,farm/household; landscape,widely applicable,NA,Unknown,No,policy makers; researchers,PA; R; ST,between cases; change over time,Maybe,No,No,Expert consultation,Unknown,Unknown,Medium,No restriction,No,No,No,No,No,No,No,No,No,multidimensional index,10,Unknown,years,no,NA,Yes,Yes,Yes,biased towards the environmental with social equity and enterprise supporting ability having the lowest weighting according to expert opinion,although they list 10 indicators - these lack a lot of detail on how to actually measure them.,Once,Complete
72,No,Not an assessment,NA,Brian,"Parthasarathy, 2002",NA,363931794,https://www.tandfonline.com/doi/abs/10.3152/147154602781766537,"Parthasarathy, 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,No,No accesss,NA,Brian,"Kassem et al., 2017",NA,363932776; 363932776,https://econpapers.repec.org/article/mupactaun/actaun_5f2017065041359.htm.,"Kassem et al., 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,Yes,NA,NA,Brian,"Xu et al., 2002",NA,363931788,https://link.springer.com/article/10.1007/s11769-002-0063-3,"Xu et al., 2002",NA,2002,No,NA,NA,No,No,NA,NA,NA,No,NA,Classic productive view,Economic; Social; Environmental; Human,Eco-EnvironmentaI Level; Ecological and Environmental Renovation; Rural Environmental Pollution; Agricultural Developing Trend; Agricultural Production Cost; Endowment of Natural Resources; Economic and Social Resources Input; Social Developing Level; Level of Living Quality; Level of Social Security,9,Social Developing Level; Level of Living Quality; Level of Social Security,Eco-EnvironmentaI Level; Ecological and Environmental Renovation; Rural Environmental Pollution,Agricultural Developing Trend; Agricultural Production Cost; Endowment of Natural Resources; Economic and Social Resources Input,Supporting System of Science. Education and Management: Capacity of Regional Management; Capacity of Agricultural Science and Technology; Educational Capacity and Performance,NA,NA,NA,NA,NA,1; 2; 3; 5; 12,NA,No,Both,Unknown,NA,national,national,generizable,China,NA,yes,policy makers; researchers,MP,Change over time; between cases,yes,Yes,Yes,Expert consultation; literature,Quantitative (measured),"Database, Expert opinion",high,No Restrictions,No,yes,yes,Yes,Yes,no,no,No,NA,scoring system,95,high,Years,yes,NA,not sure,yes,yes,NA,NA,Once,
75,No,Not holistic,social,Brian,"Koeijer et al., 2002",NA,363931812,"https://www.sciencedirect.com/science/article/abs/pii/S0301479702905785#:~:text=Sustainability%20is%20measured%20for%20a,technical%20efficiency%20and%20sustainable%20efficiency.","Koeijer et al., 2002",NA,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,Yes,NA,NA,Levi,"Lin et al., 2003",NA,363931838,https://link.springer.com/article/10.1007/s00267-003-2881-1,"Lin et al., 2003",NA,2003,no,NA,NA,No,Yes,maybe,NA,"While this tool has been quoted a number of times, these articles only used specific indictaors within it or just mentioned it as a good tool",No,NA,Classical view,Ecological; Economic; Social,NA,NA,NA,NA,NA,NA,NA,NA,uses own framework,uses own framework,"Sustainable agriculture in developing countries therefore implies:1.Intensive farming, thus increasing land use efficiency and productivity through diversified cropping patterns, such as intercropping, mixed cropping and multiple cropping; 2 Maximum use of internal resources and balanced use of external resources. Balanced use of external inputs means that the use of chemical fertilizers should be based on soil nutrient status, dosage of pesticides use should refer to recommended dosages of pesticides for specific pests or diseases, and the use of irrigation water should be based on the water demand of different crops and the availability of water resources; 3 Profitable and efficient production, with an emphasis on increased production, per capita products and net farm income; 4 The inherent capacity of soil and water resources that support agricultural production are maintained or improved over time (Sands and Podmore 2000); and 5 A greater productive use of local knowledge and practices, and enhanced innovation and application of resource conservation technologies.",1; 2; 4; 6; 10; 14; 15,no,yes,performance-based,researcher/developer only,researchers,farm/household,farm/household; landscape; regional; national,adaptable,NA,Smallholder farms,yes,Farmers; researchers,ST; R,between cases; change over time,unknown,yes,no,literature; researcher selected,Quantitative (measured),household/farm surveys,low,no restriction,no,no,yes,no,yes,no,no,no,NA,Scoring system,15,medium,years,no,NA,yes,yes,yes,"At the local level, indicator selection should consider the economic aspect first, and then give equal priority to social and ecological aspects, because increased economic benefit is still the basic concern for developing countries, which is particularly the case at the local level.",NA,Multiple,
77,Yes,NA,NA,Levi,"Mann et al., 2004",NA,363931844,https://www.researchgate.net/publication/249688572_Sustainability_Indicators_for_Swiss_Dairy_Farms_and_the_General_Implications_for_BusinessGovernment_Interdependencies,"Mann et al., 2004",Swiss Federal Research Station for Agricultural Economics and Engineering,2004,No,NA,NA,No,Yes,No,NA,NA,No,NA,Classical view,Environmental; social; economic,NA,NA,NA,NA,NA,NA,NA,NA,Brutdland 1987 https://www.britannica.com/topic/Brundtland-Report,Brutdland 1987 https://www.britannica.com/topic/Brundtland-Report,"The definition of sustainable development that is usually used as the main reference for discussion originates from the Brundtland report from 1987 and is used as the baseline forthis paper, too. ""Meeting the needs of the present generation without compromising theability of future generations to meet their needs.",1; 3; 6; 7; 8; 14; 15,yes,no,both,consultation/feedback incorporated,Farmers,farm/household,farm/household,adaptable,Switzerland,large/commercial farms,no,Farmers; Business/firm; policy makers,ST;R;PA,Change over time; between cases,no,yes,yes,literature; participatory,Quantitative (measured); Quantitative (enumerator/farmer estimated),household/farm surveys,medium,no restriction,no,no,yes,yes,no,no,unknown,no,NA,Scoring system; indicator ranges,12,medium,season,no,NA,no,yes,no,NA,NA,Multiple,
78,Yes,NA,NA,Levi,"Shrestha et al., 2004",NA,363931864,https://www.tandfonline.com/doi/abs/10.1080/13504500409469814,"Shrestha et al., 2004",NA,2004,No,NA,NA,No,Yes,no,NA,15 citations,No,NA,livelihood orientated view,Productivity; Security; Protection; Economic; Acceptability,NA,NA,NA,NA,NA,NA,NA,NA,uses own framework,uses own framework,NA,1; 2; 4; 6; 8; 9; 14; 15,No,No,both,researcher/developer only,NA,field/plot; farm/household; landscape,field/plot; farm/household; landscape,adaptable,Thailand,Smallholder farms,no,Farmers; policy makers; researchers,ST;R;PA,"between cases,",no,yes,no,literature; researcher selected,"Quantitative (measured), Quantitative (enumerator/farmer estimated)",household/farm surveys; remote-sensing,low,no restriction,no,no,yes,no,no,no,no,no,NA,statistics; indicator ranges,32,medium,years,no,NA,no,yes,No,NA,Weighting strategy not specified or the steps to calculate the Land Use Sustainability Index (LUSI),Once,
